"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1161","userCanNotChangeNameTest(String, String) User can NOT change name John","","Fri Jun 12 19:06:28 UTC 2026","passed","Fri Jun 12 19:06:29 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","1941","userCanNotTransferZeroMoneyTest(Integer, Integer, Integer) User can NOT transfer money <=0","","Fri Jun 12 19:06:07 UTC 2026","passed","Fri Jun 12 19:06:09 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferZeroMoneyTest"
"","3789","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 19:06:12 UTC 2026","passed","Fri Jun 12 19:06:16 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","1","testTransferWithFraudCheck()","","Fri Jun 12 19:06:49 UTC 2026","skipped","Fri Jun 12 19:06:49 UTC 2026","","apiTests.TransferWithFraudCheckTest","apiTests.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","762","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 19:06:54 UTC 2026","passed","Fri Jun 12 19:06:54 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","1086","userCanNotDepositMoneyMore5000Test(String) User can not deposit money > 5000 rouble","","Fri Jun 12 19:06:46 UTC 2026","passed","Fri Jun 12 19:06:47 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyMore5000Test"
"","646","userCanCreateAccountTest()","","Fri Jun 12 19:06:48 UTC 2026","failed","Fri Jun 12 19:06:49 UTC 2026","","uiTests.iteration1.CreateAccountUITest","uiTests.iteration1.CreateAccountUITest","userCanCreateAccountTest"
"","570","User can not deposit money into ANOTHER ACCOUNT","","Fri Jun 12 19:06:53 UTC 2026","passed","Fri Jun 12 19:06:53 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyIntoAnotherAccountTest"
"","838","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 19:06:56 UTC 2026","passed","Fri Jun 12 19:06:57 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","1251","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Fri Jun 12 19:06:43 UTC 2026","passed","Fri Jun 12 19:06:45 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","0","adminCanCreateUserTest()","","Fri Jun 12 19:06:48 UTC 2026","skipped","Fri Jun 12 19:06:48 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCanCreateUserTest"
"","0","adminCannotCreateUserWithInvalidDataTest()","","Fri Jun 12 19:06:48 UTC 2026","skipped","Fri Jun 12 19:06:48 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCannotCreateUserWithInvalidDataTest"
"","564","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Fri Jun 12 19:06:49 UTC 2026","passed","Fri Jun 12 19:06:50 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","0","userCanNotTransferMoneyTest(Integer, Integer, Integer, String)","","Fri Jun 12 19:06:54 UTC 2026","skipped","Fri Jun 12 19:06:54 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanNotTransferMoneyTest"
"","516","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username=    , password=Password22$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Jun 12 19:07:01 UTC 2026","passed","Fri Jun 12 19:07:01 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","464","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 19:07:00 UTC 2026","passed","Fri Jun 12 19:07:00 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","1839","userCanNotTransferMoneyTest(Integer, Integer, Integer) User can NOT transfer money","","Fri Jun 12 19:06:11 UTC 2026","passed","Fri Jun 12 19:06:12 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyTest"
"","865","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 19:06:55 UTC 2026","passed","Fri Jun 12 19:06:56 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","98","adminCanGenerateAuthTokenTest()","","Fri Jun 12 19:07:02 UTC 2026","passed","Fri Jun 12 19:07:03 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
